,position
30183,1.0
30184,1.0
30185,1.0
30186,0.9999999999999669
30187,1.0
30188,1.0
30189,1.0
30190,3.5888823706806877e-10
30191,1.097477797437406e-34
30192,1.0
30193,1.0
30194,1.0
30195,1.0
30196,1.0
30197,1.0
30198,1.0
30199,1.0
30200,1.0
30201,1.0
30202,1.0
30203,1.0
30204,1.0
30205,1.0
30206,1.0
30207,1.0
30208,1.0
30209,1.0
30210,1.0
30211,1.0
30212,1.0
30213,1.0
30214,1.0
30215,4.775278595690187e-20
30216,6.047870361760819e-31
30217,1.0
30218,1.0
30219,1.0
30220,1.0
30221,1.0
30222,1.0
30223,1.0
30224,1.0
30225,1.0
30226,1.0
30227,1.0
30228,1.0
30229,1.0
30230,1.0
30231,1.0
30232,1.0
30233,1.0
30234,1.0
30235,1.0
30236,1.0
30237,1.0
30238,1.0
30239,1.0
30240,1.0
30241,1.0
30242,1.0
30243,1.0
30244,1.0
30245,1.0
30246,1.0
30247,0.9998932351871278
30248,0.9979061047962366
30249,1.0001778883418194e-14
30250,1.0
30251,1.0
30252,1.0
30253,1.0
30254,1.0
30255,1.0
30256,1.0
30257,1.0
30258,1.0
30259,1.0
30260,1.0
30261,1.0
30262,1.0
30263,1.0
30264,0.9999999999999747
30265,1.0
30266,1.0
30267,1.0
30268,1.0
30269,1.0
30270,1.0
30271,0.999938541683603
30272,2.3762235574307834e-35
30273,1.8462653205890138e-32
30274,1.0
30275,1.0
30276,1.0
30277,1.0
30278,1.0
30279,1.0
30280,1.0
30281,1.0
30282,1.0
30283,1.0
30284,1.0
30285,1.0
30286,1.0
30287,1.0
30288,1.0
30289,1.0
30290,1.0
30291,1.0
30292,1.0
30293,0.9999630104545592
30294,7.813099157506821e-20
30295,1.0
30296,1.0
30297,1.0
30298,1.0
30299,1.0
30300,1.0
30301,1.0
30302,1.0
30303,1.0
30304,1.0
30305,1.0
30306,1.0
30307,1.0
30308,1.0
30309,1.0
30310,1.0
30311,1.0
30312,1.0
30313,1.0
30314,1.0
30315,1.0
30316,1.0
30317,1.0
30318,1.0
30319,1.0
30320,1.0
30321,1.0
30322,1.0
30323,1.0
30324,1.0
30325,1.0
30326,1.0
30327,1.0
30328,1.0
30329,1.0
30330,1.0
30331,1.0
30332,1.0
30333,1.0
30334,1.0
30335,1.0
30336,1.0
30337,1.0
30338,1.0
30339,1.0
30340,0.9999824180619766
30341,1.0
30342,1.0
30343,1.0
30344,1.0
30345,1.0
30346,1.0
30347,1.0
30348,1.0
30349,1.0
30350,1.0
30351,2.0730907234710893e-19
30352,8.630196712673817e-41
30353,8.936573866775e-09
30354,1.0
30355,1.0
30356,0.9999999999936091
30357,0.9999999999999973
30358,0.9999999734556302
30359,1.0
30360,1.0
30361,1.0
30362,1.0
30363,1.0
30364,1.0
30365,1.0
30366,1.0
30367,1.0
30368,1.0
30369,1.0
30370,1.0
30371,1.0
30372,1.0
30373,1.0
30374,1.0
30375,1.0
30376,0.07215233802568732
30377,3.809941846790557e-46
30378,9.845724450437689e-08
30379,1.0
30380,1.0
30381,1.0
30382,1.0
30383,1.0
30384,1.0
30385,1.0
30386,1.0
30387,1.0
30388,1.0
30389,1.0
30390,1.0
30391,1.0
30392,1.0
30393,1.0
30394,1.0
30395,1.0
30396,1.0
30397,1.0
30398,1.0
30399,1.0
30400,1.0
30401,4.6535197983546845e-36
30402,1.481427300911898e-54
30403,9.036675060684006e-51
30404,1.7419807862984137e-46
30405,4.212367128867391e-33
30406,1.0
30407,1.0
30408,1.0
30409,1.0
30410,1.0
30411,1.0
30412,1.0
30413,1.0
30414,0.9999999947055047
30415,1.0
30416,1.0
30417,1.0
30418,1.0
30419,1.0
30420,1.0
30421,1.0
30422,1.0
30423,1.0
30424,0.9999999933006702
30425,1.0
30426,1.0
30427,1.0
30428,1.0
30429,1.0
30430,1.0
30431,1.0
30432,3.49369380085222e-28
30433,1.4185973239970783e-13
30434,7.400565583636902e-44
30435,1.6384052362498467e-38
30436,2.5257668451348327e-30
30437,3.561049134431328e-28
30438,7.821500277799741e-38
30439,9.308467787127883e-44
30440,1.0834085748795856e-43
30441,1.3699811370747703e-45
30442,1.0
30443,1.0
30444,1.0
30445,1.0
30446,1.0
30447,1.0
30448,1.0
30449,1.0
30450,1.0
30451,1.0
30452,1.0
30453,1.0
30454,1.0
30455,1.0
30456,1.0
30457,1.0
30458,1.0
30459,1.407740428732401e-30
30460,6.566093427387788e-29
30461,1.4581648653706245e-26
30462,5.904992613226586e-33
30463,2.1719454953700924e-41
30464,1.6807286569685244e-40
30465,1.0223607621687533e-26
30466,2.804461374123601e-29
30467,1.0
30468,1.0
30469,1.0
30470,1.0
30471,1.0
30472,3.171475378804621e-33
30473,0.9999999999998801
30474,1.0
30475,1.0
30476,1.0
30477,1.0
30478,1.0
30479,1.0
30480,1.0
30481,1.0
30482,1.0
30483,1.0
30484,1.0
30485,1.0
30486,1.0
30487,1.0
30488,2.931528080009722e-10
30489,1.0
30490,1.0
30491,1.0
30492,1.0
30493,1.0
30494,1.0
30495,1.0
30496,1.0
30497,1.0
30498,1.0
30499,0.999999999999968
30500,1.0
30501,1.0
30502,1.0
30503,1.0
30504,1.0
30505,1.0
30506,1.0
30507,1.0
30508,1.0
30509,1.0
30510,1.0
30511,2.638078381091612e-07
30512,1.0
30513,1.0
30514,1.0
30515,1.0
30516,1.0
30517,1.0
30518,1.0
30519,1.0
30520,1.0
30521,1.0
30522,1.0
30523,1.0
30524,1.0
30525,1.0
30526,1.0
30527,1.0
